harness,intent_category,count
mini-swe-agent-forest,code_or_file_inspection,552
codex,code_or_file_inspection,192
opencode,blockchain_rpc_probe,107
codex,code_search,41
codex,file_or_repo_mutation,41
codex,build_or_test,38
codex,blockchain_rpc_probe,37
mini-swe-agent-forest,file_or_repo_mutation,36
mini-swe-agent-forest,code_search,28
codex,script_or_runtime,21
codex,other,19
codex,submission_output,16
opencode,version_control,14
codex,run_orchestration,13
opencode,run_orchestration,13
opencode-openrouter-v1,run_orchestration,13
codex-openrouter-v1,run_orchestration,10
mini-swe-agent-forest,other,9
opencode,code_or_file_inspection,7
opencode,build_or_test,7
opencode,script_or_runtime,7
opencode,other,6
mini-swe-agent-forest,build_or_test,4
codex,version_control,3
codex,text_processing,3
mini-swe-agent-forest,run_orchestration,3
opencode,file_or_repo_mutation,2
mini-swe-agent-modal-forest-qwen-vllm-4trees-debug,run_orchestration,1
mini-swe-agent-forest,version_control,1
