mode,intent_category,count
detect,code_or_file_inspection,572
exploit,blockchain_rpc_probe,143
patch,code_or_file_inspection,138
detect,file_or_repo_mutation,41
detect,code_search,37
patch,build_or_test,28
exploit,file_or_repo_mutation,26
detect,other,25
unknown,code_or_file_inspection,24
detect,run_orchestration,23
patch,run_orchestration,23
patch,code_search,22
patch,script_or_runtime,18
exploit,code_or_file_inspection,17
detect,build_or_test,16
detect,submission_output,12
patch,file_or_repo_mutation,12
exploit,code_search,10
patch,version_control,10
detect,version_control,8
exploit,script_or_runtime,8
exploit,other,8
exploit,run_orchestration,7
exploit,build_or_test,5
patch,submission_output,4
detect,text_processing,2
detect,script_or_runtime,2
exploit,text_processing,1
detect,blockchain_rpc_probe,1
patch,other,1
