metric,source_family,count,extractor_version
candidate_files,project_evmbench_runs,11134,stable_schema
candidate_files,evmbench_runs_download,3160,stable_schema
candidate_files,exploit_results_v3,136,stable_schema
candidate_files,exploit_results,98,stable_schema
candidate_files,evmbench_native_runs,97,stable_schema
candidate_files,exploit_results_live_v3,2,stable_schema
unique_files,project_evmbench_runs,7795,stable_schema
unique_files,evmbench_runs_download,3076,stable_schema
unique_files,exploit_results_v3,135,stable_schema
unique_files,exploit_results,98,stable_schema
unique_files,evmbench_native_runs,97,stable_schema
unique_files,exploit_results_live_v3,2,stable_schema
duplicate_files_skipped,project_evmbench_runs,3339,stable_schema
duplicate_files_skipped,evmbench_runs_download,84,stable_schema
duplicate_files_skipped,exploit_results_v3,1,stable_schema
extracted_invocations,project_evmbench_runs,5881,stable_schema
extracted_invocations,evmbench_runs_download,2480,stable_schema
extracted_invocations,exploit_results_v3,704,stable_schema
extracted_invocations,exploit_results,613,stable_schema
extracted_invocations,evmbench_native_runs,31,stable_schema
extracted_invocations,exploit_results_live_v3,12,stable_schema
counted_source_files,evmbench_native_runs,3,stable_schema
counted_source_files,evmbench_runs_download,1097,stable_schema
counted_source_files,exploit_results,36,stable_schema
counted_source_files,exploit_results_live_v3,1,stable_schema
counted_source_files,exploit_results_v3,42,stable_schema
counted_source_files,project_evmbench_runs,3423,stable_schema
