metric,mode,primary_category,count
invocation,all,file_read_navigation,179
invocation,all,text_search,97
invocation,all,onchain_state_query,81
invocation,all,other,40
invocation,all,build_test,26
invocation,all,file_write_edit,26
invocation,all,report_submission,24
invocation,all,exploit_execution,10
invocation,all,runtime_script,2
invocation,all,git_vcs,1
invocation,detect,file_read_navigation,94
invocation,detect,text_search,47
invocation,detect,report_submission,24
invocation,detect,other,16
invocation,detect,build_test,9
invocation,detect,file_write_edit,2
invocation,exploit,onchain_state_query,81
invocation,exploit,file_read_navigation,45
invocation,exploit,text_search,26
invocation,exploit,file_write_edit,18
invocation,exploit,other,12
invocation,exploit,exploit_execution,10
invocation,exploit,build_test,4
invocation,exploit,runtime_script,2
invocation,patch,file_read_navigation,40
invocation,patch,text_search,24
invocation,patch,build_test,13
invocation,patch,other,12
invocation,patch,file_write_edit,6
invocation,patch,git_vcs,1
segment,all,file_read_navigation,898
segment,all,shell_control_flow,574
segment,all,shell_output_logging,567
segment,all,other,239
segment,all,onchain_state_query,237
segment,all,text_search,130
segment,all,environment_process,103
segment,all,file_write_edit,53
segment,all,runtime_script,37
segment,all,report_submission,33
segment,all,build_test,30
segment,all,exploit_execution,17
segment,all,git_vcs,2
segment,detect,file_read_navigation,532
segment,detect,shell_output_logging,280
segment,detect,shell_control_flow,210
segment,detect,environment_process,81
segment,detect,text_search,69
segment,detect,other,35
segment,detect,report_submission,33
segment,detect,file_write_edit,14
segment,detect,build_test,12
segment,detect,runtime_script,9
segment,exploit,shell_control_flow,291
segment,exploit,onchain_state_query,237
segment,exploit,file_read_navigation,200
segment,exploit,other,191
segment,exploit,shell_output_logging,184
segment,exploit,text_search,35
segment,exploit,file_write_edit,30
segment,exploit,runtime_script,24
segment,exploit,environment_process,22
segment,exploit,exploit_execution,17
segment,exploit,build_test,4
segment,patch,file_read_navigation,166
segment,patch,shell_output_logging,103
segment,patch,shell_control_flow,73
segment,patch,text_search,26
segment,patch,build_test,14
segment,patch,other,13
segment,patch,file_write_edit,9
segment,patch,runtime_script,4
segment,patch,git_vcs,2
